,battingPoints,bonusPoints,bowlingPoints,fieldingPoints,matchDesc,matchId,playerId,playerName,playerTeam,secondInningBattingPoints,secondInningBowlingPoints,secondInningFieldingPoints
0,5,60,0,0,mi vs csk,7894,1,Ms Dhoni (csk),csk,5,0,0
1,2,60,8,0,mi vs csk,7894,9,Ravindra Jadeja (csk),csk,2,0,0
2,4,35,0,0,mi vs csk,7894,14,Suresh Raina (csk),csk,4,0,0
3,117,60,19,0,mi vs csk,7894,25,Dwayne Bravo (csk),csk,117,0,0
4,27,60,0,10,mi vs csk,7894,100,Ambati Rayudu (csk),csk,27,0,0
5,8,25,13,10,mi vs csk,7894,103,Harbhajan Singh (csk),csk,8,0,0
6,7,70,0,10,mi vs csk,7894,107,Rohit Sharma (mi),mi,0,0,10
7,60,45,0,10,mi vs csk,7894,108,Suryakumar Yadav (mi),mi,0,0,10
8,-5,25,47,0,mi vs csk,7894,140,Deepak Chahar (csk),csk,-5,0,0
9,0,5,0,0,mi vs csk,7894,210,Kieron Pollard (mi),mi,0,0,0
10,23,85,72,0,mi vs csk,7894,227,Shane Watson (csk),csk,23,0,0
11,33,5,0,0,mi vs csk,7894,297,Kedar Jadhav (csk),csk,33,0,0
12,0,20,15,0,mi vs csk,7894,730,Mitchell Mcclenaghan (mi),mi,0,15,0
13,-5,20,0,10,mi vs csk,7894,872,Evin Lewis (mi),mi,0,0,10
14,2,20,14,0,mi vs csk,7894,898,Imran Tahir (csk),csk,2,0,0
15,0,20,35,10,mi vs csk,7894,1124,Jasprit Bumrah (mi),mi,0,35,10
16,0,5,18,10,mi vs csk,7894,1594,Mustafizur Rahman (mi),mi,0,18,10
17,27,45,102,0,mi vs csk,7894,2740,Hardik Pandya (mi),mi,0,102,0
18,1,5,-9,10,mi vs csk,7894,2749,Mark Wood (csk),csk,1,0,0
19,57,20,0,15,mi vs csk,7894,2975,Ishan Kishan (mi),mi,0,0,15
20,65,20,0,10,mi vs csk,7894,3183,Krunal Pandya (mi),mi,0,0,10
21,0,20,101,0,mi vs csk,7894,4951,Mayank Markande (mi),mi,0,101,0
22,0,15,0,0,mi vs csk,7894,1118,Karn Sharma (csk),csk,0,0,0
23,0,0,0,0,mi vs csk,7894,7,Murali Vijay (csk),csk,0,0,0
24,0,35,34,0,kxp vs dd,7895,8,Ravichandran Ashwin (kxp),kxp,0,0,0
25,0,10,-6,0,kxp vs dd,7895,30,Amit Mishra (dd),dd,0,-6,0
26,82,5,0,0,kxp vs dd,7895,84,Gautam Gambhir (dd),dd,0,0,0
27,0,5,-12,20,kxp vs dd,7895,94,Mohammed Shami (dd),dd,0,-12,20
28,-3,25,0,0,kxp vs dd,7895,113,Yuvraj Singh (kxp),kxp,-3,0,0
29,9,35,0,0,kxp vs dd,7895,158,Mayank Agarwal (kxp),kxp,9,0,0
30,20,5,36,0,kxp vs dd,7895,181,Dan Christian (dd),dd,0,36,0
31,29,10,0,0,kxp vs dd,7895,187,David Miller (kxp),kxp,29,0,0
32,84,35,0,0,kxp vs dd,7895,276,Karun Nair (kxp),kxp,84,0,0
33,4,10,0,0,kxp vs dd,7895,773,Colin Munro (dd),dd,0,0,0
34,49,0,33,0,kxp vs dd,7895,836,Chris Morris (dd),dd,0,33,0
35,27,10,10,0,kxp vs dd,7895,964,Marcus Stoinis (kxp),kxp,27,0,0
36,0,15,36,10,kxp vs dd,7895,969,Trent Boult (dd),dd,0,36,10
37,18,15,0,10,kxp vs dd,7895,1083,Vijay Shankar (dd),dd,0,0,10
38,0,15,60,0,kxp vs dd,7895,1107,Mohit Sharma (kxp),kxp,0,0,0
39,0,10,13,10,kxp vs dd,7895,1113,Axar Patel (kxp),kxp,0,0,0
40,94,85,0,10,kxp vs dd,7895,1125,Lokesh Rahul (kxp),kxp,94,0,0
41,0,35,12,10,kxp vs dd,7895,1480,Andrew Tye (kxp),kxp,0,0,0
42,18,40,0,0,kxp vs dd,7895,1563,Shreyas Iyer (dd),dd,0,0,0
43,9,10,39,0,kxp vs dd,7895,1749,Rahul Tewatia (dd),dd,0,39,0
44,55,40,0,0,kxp vs dd,7895,2972,Rishabh Pant (dd),dd,0,0,0
45,0,60,69,10,kxp vs dd,7895,4572,Mujeeb Ur Rahman (kxp),kxp,0,0,0
46,0,25,0,0,kxp vs dd,7895,167,Aaron Finch (kxp),kxp,0,0,0
47,0,15,0,0,kxp vs dd,7895,282,Glenn Maxwell (dd),dd,0,0,0
48,0,40,73,0,kkr vs rcb,7896,59,Umesh Yadav (rcb),rcb,0,73,0
49,66,15,0,0,kkr vs rcb,7896,72,Mandeep Singh (rcb),rcb,0,0,0
50,0,25,40,0,kkr vs rcb,7896,76,Piyush Chawla (kkr),kkr,0,0,0
51,50,25,0,0,kkr vs rcb,7896,102,Dinesh Karthik (kkr),kkr,50,0,0
52,0,15,11,0,kkr vs rcb,7896,111,Yuzvendra Chahal (rcb),rcb,0,11,0
53,20,25,0,0,kkr vs rcb,7896,127,Robin Uthappa (kkr),kkr,20,0,0
54,33,15,0,0,kkr vs rcb,7896,164,Virat Kohli (rcb),rcb,0,0,0
55,6,5,41,10,kkr vs rcb,7896,166,Vinay Kumar (kkr),kkr,6,0,0
56,22,25,17,10,kkr vs rcb,7896,177,Andre Russell (kkr),kkr,22,0,0
