,battingPoints,bowlingPoints,fieldingPoints,matchId,playerId,playerName,playerTeam,secondInningBattingPoints,secondInningBowlingPoints,secondInningFieldingPoints
0,5,0,0,7894,1,ms-dhoni,csk,5,0,0
1,2,8,0,7894,9,ravindra-jadeja,csk,2,0,0
2,4,0,0,7894,14,suresh-raina,csk,4,0,0
3,117,19,0,7894,25,dwayne-bravo,csk,117,0,0
4,27,0,10,7894,100,ambati-rayudu,csk,27,0,0
5,8,13,10,7894,103,harbhajan-singh,csk,8,0,0
6,7,0,10,7894,107,rohit-sharma,mi,0,0,10
7,60,0,10,7894,108,suryakumar-yadav,mi,0,0,10
8,-5,47,0,7894,140,deepak-chahar,csk,-5,0,0
9,0,0,0,7894,210,kieron-pollard,mi,0,0,0
10,23,72,0,7894,227,shane-watson,csk,23,0,0
11,33,0,0,7894,297,kedar-jadhav,csk,33,0,0
12,0,15,0,7894,730,mitchell-mcclenaghan,mi,0,15,0
13,-5,0,10,7894,872,evin-lewis,mi,0,0,10
14,2,14,0,7894,898,imran-tahir,csk,2,0,0
15,0,35,10,7894,1124,jasprit-bumrah,mi,0,35,10
16,0,18,10,7894,1594,mustafizur-rahman,mi,0,18,10
17,27,102,0,7894,2740,hardik-pandya,mi,0,102,0
18,1,-9,10,7894,2749,mark-wood,csk,1,0,0
19,57,0,15,7894,2975,ishan-kishan,mi,0,0,15
20,65,0,10,7894,3183,krunal-pandya,mi,0,0,10
21,0,101,0,7894,4951,mayank-markande,mi,0,101,0
22,0,0,0,7894,1118,karn-sharma,csk,0,0,0
23,0,0,0,7894,7,murali-vijay,csk,0,0,0
24,0,34,0,7895,8,ravichandran-ashwin,kxp,0,0,0
25,0,-6,0,7895,30,amit-mishra,dd,0,-6,0
26,82,0,0,7895,84,gautam-gambhir,dd,0,0,0
27,0,-12,20,7895,94,mohammed-shami,dd,0,-12,20
28,-3,0,0,7895,113,yuvraj-singh,kxp,-3,0,0
29,9,0,0,7895,158,mayank-agarwal,kxp,9,0,0
30,20,36,0,7895,181,dan-christian,dd,0,36,0
31,29,0,0,7895,187,david-miller,kxp,29,0,0
32,84,0,0,7895,276,karun-nair,kxp,84,0,0
33,4,0,0,7895,773,colin-munro,dd,0,0,0
34,49,33,0,7895,836,chris-morris,dd,0,33,0
35,27,10,0,7895,964,marcus-stoinis,kxp,27,0,0
36,0,36,10,7895,969,trent-boult,dd,0,36,10
37,18,0,10,7895,1083,vijay-shankar,dd,0,0,10
38,0,60,0,7895,1107,mohit-sharma,kxp,0,0,0
39,0,13,10,7895,1113,axar-patel,kxp,0,0,0
40,94,0,10,7895,1125,lokesh-rahul,kxp,94,0,0
41,0,12,10,7895,1480,andrew-tye,kxp,0,0,0
42,18,0,0,7895,1563,shreyas-iyer,dd,0,0,0
43,9,39,0,7895,1749,rahul-tewatia,dd,0,39,0
44,55,0,0,7895,2972,rishabh-pant,dd,0,0,0
45,0,69,10,7895,4572,mujeeb-ur-rahman,kxp,0,0,0
46,0,0,0,7895,167,aaron-finch,kxp,0,0,0
47,0,0,0,7895,282,glenn-maxwell,dd,0,0,0
48,0,73,0,7896,59,umesh-yadav,rcb,0,73,0
49,66,0,0,7896,72,mandeep-singh,rcb,0,0,0
50,0,40,0,7896,76,piyush-chawla,kkr,0,0,0
51,50,0,0,7896,102,dinesh-karthik,kkr,50,0,0
52,0,11,0,7896,111,yuzvendra-chahal,rcb,0,11,0
53,20,0,0,7896,127,robin-uthappa,kkr,20,0,0
54,33,0,0,7896,164,virat-kohli,rcb,0,0,0
55,6,41,10,7896,166,vinay-kumar,kkr,6,0,0
56,22,17,10,7896,177,andre-russell,kkr,22,0,0
57,5,0,0,7896,179,chris-lynn,kkr,5,0,0
58,67,0,10,7896,202,brendon-mccullum,rcb,0,0,10
59,95,39,0,7896,203,sunil-narine,kkr,95,0,0
60,0,42,10,7896,213,mitchell-johnson,kkr,0,0,0
61,74,0,20,7896,233,ab-de-villiers,rcb,0,0,20
62,0,-6,10,7896,261,kuldeep-yadav,kkr,0,0,0
63,4,0,10,7896,834,quinton-de-kock,rcb,0,0,10
64,5,100,0,7896,967,chris-woakes,rcb,0,100,0
65,6,0,0,7896,1564,sarfaraz-khan,rcb,0,0,0
66,53,43,0,7896,2738,nitish-rana,kkr,53,0,0
67,0,14,0,7896,2973,washington-sundar,rcb,0,14,0
68,6,0,10,7896,3830,rinku-singh,kkr,6,0,0
69,0,11,0,7896,3835,kulwant-khejroliya,rcb,0,11,0
70,5,0,10,7897,16,wriddhiman-saha,sh,5,0,0
71,115,0,0,7897,41,shikhar-dhawan,sh,115,0,0
72,1,33,0,7897,86,jaydev-unadkat,rr,0,33,0
73,0,0,20,7897,96,yusuf-pathan,sh,0,0,0
74,3,22,0,7897,101,dhawal-kulkarni,rr,0,22,0
75,0,40,0,7897,116,bhuvneshwar-kumar,sh,0,0,0
76,0,0,10,7897,123,manish-pandey,sh,0,0,0
77,18,0,0,7897,135,ajinkya-rahane,rr,0,0,0
78,0,69,0,7897,201,shakib-al-hasan,sh,0,0,0
79,64,0,0,7897,258,sanju-samson,rr,0,0,0
80,53,0,20,7897,440,kane-williamson,sh,53,0,0
81,6,0,0,7897,509,jos-buttler,rr,0,0,0
82,1,9,10,7897,921,ben-laughlin,rr,0,9,10
83,0,76,0,7897,1086,siddarth-kaul,sh,0,0,0
84,5,-6,0,7897,1154,ben-stokes,rr,0,-6,0
85,0,37,0,7897,1521,billy-stanlake,sh,0,0,0
86,0,0,0,7897,1556,deepak-hooda,sh,0,0,0
87,23,16,0,7897,1748,shreyas-gopal,rr,0,16,0
88,0,41,20,7897,2885,rashid-khan,sh,0,0,0
89,-5,8,0,7897,3834,krishnappa-gowtham,rr,0,8,0
90,22,0,0,7897,3838,rahul-tripathi,rr,0,0,0
91,4,22,0,7897,3887,d-arcy-short,rr,0,22,0
92,0,0,0,7897,148,stuart-binny,rr,0,0,0
93,27,0,10,7898,1,ms-dhoni,csk,27,0,0
94,23,31,0,7898,9,ravindra-jadeja,csk,23,0,0
95,21,0,20,7898,14,suresh-raina,csk,21,0,0
96,28,-12,10,7898,25,dwayne-bravo,csk,28,0,0
97,0,10,0,7898,76,piyush-chawla,kkr,0,10,0
